State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pullutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,State Name,County Name,City Name,CBSA Name,Date of Last Change,Location 1
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2001,Parts per million,No Events,3472,95,145,153,0,200,0,0,Certified,29,0.067048,0.0117,0.112,08/06/2001 04:00:00 PM,0.105,08/17/2001 03:00:00 PM,0.103,07/04/2001 02:00:00 PM,0.092,06/30/2001 01:00:00 PM,,,,,0.105,0.103,0.088,0.081,0.073,0.066,0.053,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2001,Parts per million,No Events,3493,93,143,153,0,0,3,3,Certified,0,0.059399,0.009078,0.089,08/06/2001 12:00:00 PM,0.087,07/04/2001 11:00:00 AM,0.086,08/17/2001 11:00:00 AM,0.078,05/11/2001 11:00:00 AM,,,,,0.087,0.086,0.075,0.071,0.064,0.059,0.05,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2001,Parts per million,No Events,3493,93,143,153,0,0,5,5,Certified,0,0.059399,0.009078,0.089,08/06/2001 12:00:00 PM,0.087,07/04/2001 11:00:00 AM,0.086,08/17/2001 11:00:00 AM,0.078,05/11/2001 11:00:00 AM,,,,,0.087,0.086,0.075,0.071,0.064,0.059,0.05,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61101,1,NAD83,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2001,Knots,No Events,8710,99,362,365,0,50,,,Certification not required,0,5.069093,3.28168,22.8,04/18/2001 09:00:00 PM,22.8,12/05/2001 04:00:00 PM,22.6,04/19/2001 01:00:00 AM,22,07/13/2001 10:00:00 PM,,,,,15.5,13.8,11.7,9.9,6.8,3.9,2,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",03/05/2010 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61102,1,NAD83,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE,2001,Degrees Compass,No Events,8760,100,365,365,0,0,,,Certification not required,3,160.866153,94.380578,360,04/22/2001 11:00:00 AM,360,06/27/2001 03:00:00 AM,360,08/11/2001 05:00:00 PM,359,01/14/2001 03:00:00 PM,,,,,351,342,322,291,235,158,56,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",03/05/2010 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88101,1,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2001,Micrograms/cubic meter (LC),No Events,119,98,119,122,0,3,6,6,Certified,0,9.32521,9.601441,47.6,12/27/2001 12:00:00 AM,43.8,12/30/2001 12:00:00 AM,41.7,01/01/2001 12:00:00 AM,41.5,01/04/2001 12:00:00 AM,,,,,43.8,41.7,37.6,20,9.7,6.1,3,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",06/29/2013 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88101,1,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2001,Micrograms/cubic meter (LC),No Events,119,98,119,122,0,3,,,Certified,0,9.32521,9.601441,47.6,12/27/2001 12:00:00 AM,43.8,12/30/2001 12:00:00 AM,41.7,01/01/2001 12:00:00 AM,41.5,01/04/2001 12:00:00 AM,,,,,43.8,41.7,37.6,20,9.7,6.1,3,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",06/29/2013 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,6001,61101,1,NAD27,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2001,Knots,No Events,6488,74,270,365,0,0,,,Certification not required,66,7.806427,4.774155,36.5,10/23/2001 01:00:00 PM,35.7,10/23/2001 02:00:00 PM,34.9,09/12/2001 06:00:00 PM,34.3,03/14/2001 08:00:00 AM,,,,,23.8,21.1,17,13.7,10.1,6.8,2.9,UTM COORDINATES AT MET TOWER,Utah,Box Elder,Not in a city,"Brigham City, UT",03/05/2010 12:00:00 AM,"NO ADDRESS; AWAY FROM CITY
(41.228056, -112.437778)"
49,3,6001,61102,1,NAD27,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE,2001,Degrees Compass,No Events,6488,74,270,365,0,0,,,Certification not required,18,141.752004,109.159081,360,04/04/2001 01:00:00 AM,360,10/24/2001 01:00:00 AM,360,12/20/2001 12:00:00 AM,360,12/24/2001 12:00:00 AM,,,,,355,350,332,310,242,102,28,UTM COORDINATES AT MET TOWER,Utah,Box Elder,Not in a city,"Brigham City, UT",03/05/2010 12:00:00 AM,"NO ADDRESS; AWAY FROM CITY
(41.228056, -112.437778)"
49,3,6001,61106,1,NAD27,Std Dev Hz Wind Direction,1 HOUR,,Observed Values,INSTRUMENTAL - ARITHMETIC STANDARD DEVIATION,2001,Degrees Compass,No Events,6488,74,270,365,0,0,,,Certification not required,1,16.335882,11.586626,75.9,10/21/2001 07:00:00 PM,74.1,10/07/2001 06:00:00 PM,71.7,07/31/2001 03:00:00 PM,71.4,07/30/2001 03:00:00 PM,,,,,53.9,49.5,41.6,32.7,21.4,12.8,5.5,UTM COORDINATES AT MET TOWER,Utah,Box Elder,Not in a city,"Brigham City, UT",03/05/2010 12:00:00 AM,"NO ADDRESS; AWAY FROM CITY
(41.228056, -112.437778)"
