State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,State Name,County Name,City Name,CBSA Name,Date of Last Change,Location 1
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2007,Parts per million,Events Excluded,3596,98,150,153,0,53,0,0,Certification not required,5,0.06158,0.012172,0.1,07/02/2007 01:00:00 PM,0.097,07/06/2007 03:00:00 PM,0.092,07/01/2007 02:00:00 PM,0.092,07/23/2007 01:00:00 PM,,,,,0.097,0.092,0.084,0.075,0.069,0.062,0.046,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2007,Parts per million,Events Inclucded,3619,98,150,153,23,53,0,0,Certification not required,5,0.062033,0.012584,0.107,07/11/2007 03:00:00 PM,0.1,07/02/2007 01:00:00 PM,0.097,07/06/2007 03:00:00 PM,0.092,07/01/2007 02:00:00 PM,,,,,0.1,0.097,0.084,0.076,0.07,0.062,0.047,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2007,Parts per million,Concurred Events Excluded,3619,98,150,153,23,53,0,0,Certification not required,5,0.062033,0.012584,0.107,07/11/2007 03:00:00 PM,0.1,07/02/2007 01:00:00 PM,0.097,07/06/2007 03:00:00 PM,0.092,07/01/2007 02:00:00 PM,,,,,0.1,0.097,0.084,0.076,0.07,0.062,0.047,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2007,Parts per million,Concurred Events Excluded,3632,98,150,153,0,0,1,1,Certification not required,0,0.05578,0.010281,0.085,07/11/2007 11:00:00 AM,0.083,07/23/2007 08:00:00 AM,0.079,07/30/2007 10:00:00 AM,0.077,06/28/2007 11:00:00 AM,,,,,0.083,0.079,0.073,0.067,0.062,0.056,0.042,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2007,Parts per million,Events Excluded,3622,98,150,153,0,0,0,0,Certification not required,0,0.055547,0.010006,0.083,07/23/2007 08:00:00 AM,0.079,07/30/2007 10:00:00 AM,0.077,06/28/2007 11:00:00 AM,0.077,07/06/2007 10:00:00 AM,,,,,0.079,0.077,0.072,0.067,0.062,0.056,0.042,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2007,Parts per million,Events Inclucded,3632,98,150,153,0,0,1,1,Certification not required,0,0.05578,0.010281,0.085,07/11/2007 11:00:00 AM,0.083,07/23/2007 08:00:00 AM,0.079,07/30/2007 10:00:00 AM,0.077,06/28/2007 11:00:00 AM,,,,,0.083,0.079,0.073,0.067,0.062,0.056,0.042,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2007,Parts per million,Events Inclucded,3632,98,150,153,0,0,6,6,Certification not required,0,0.05578,0.010281,0.085,07/11/2007 11:00:00 AM,0.083,07/23/2007 08:00:00 AM,0.079,07/30/2007 10:00:00 AM,0.077,06/28/2007 11:00:00 AM,,,,,0.083,0.079,0.073,0.067,0.062,0.056,0.042,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2007,Parts per million,Concurred Events Excluded,3632,98,150,153,0,0,6,6,Certification not required,0,0.05578,0.010281,0.085,07/11/2007 11:00:00 AM,0.083,07/23/2007 08:00:00 AM,0.079,07/30/2007 10:00:00 AM,0.077,06/28/2007 11:00:00 AM,,,,,0.083,0.079,0.073,0.067,0.062,0.056,0.042,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2007,Parts per million,Events Excluded,3622,98,150,153,0,0,5,5,Certification not required,0,0.055547,0.010006,0.083,07/23/2007 08:00:00 AM,0.079,07/30/2007 10:00:00 AM,0.077,06/28/2007 11:00:00 AM,0.077,07/06/2007 10:00:00 AM,,,,,0.079,0.077,0.072,0.067,0.062,0.056,0.042,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61101,1,NAD83,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2007,Knots,No Events,8012,91,334,365,0,4,,,Certification not required,3,4.70171,2.938631,21.1,06/10/2007 09:00:00 PM,20.9,08/02/2007 12:00:00 AM,19.4,08/01/2007 10:00:00 PM,18.8,10/05/2007 03:00:00 AM,,,,,14.1,12.7,10.7,9,6.2,3.8,1.8,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",03/07/2010 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
