State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pullutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,State Name,County Name,City Name,CBSA Name,Date of Last Change,Location 1
49,3,3,61101,1,NAD83,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2000,Knots,No Events,799,45,33,74,0,665,,,Certification not required,0,3.623655,3.020416,18.4,12/15/2000 04:00:00 AM,17.9,12/15/2000 05:00:00 AM,17.8,12/26/2000 01:00:00 AM,17.7,12/14/2000 08:00:00 AM,,,,,15.3,13.3,11.3,7.6,3.7,2.5,1.6,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",03/05/2010 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61102,1,NAD83,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE,2000,Degrees Compass,No Events,1462,82,61,74,0,2,,,Certification not required,0,184.613543,83.1968,360,12/01/2000 12:00:00 AM,358,11/18/2000 12:00:00 AM,358,11/25/2000 02:00:00 AM,358,11/28/2000 01:00:00 AM,,,,,347,331,308,293,264,177,67,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",03/05/2010 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88101,1,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,43,35,43,122,0,2,1,1,Certification not required,0,9.116279,8.743921,35.7,12/08/2000 12:00:00 AM,34.4,12/29/2000 12:00:00 AM,33.5,12/05/2000 12:00:00 AM,28,11/23/2000 12:00:00 AM,,,,,35.7,35.7,33.5,21.2,10.3,5.9,2.8,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",06/29/2013 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88101,1,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,43,35,43,122,0,2,,,Certification not required,0,9.116279,8.743921,35.7,12/08/2000 12:00:00 AM,34.4,12/29/2000 12:00:00 AM,33.5,12/05/2000 12:00:00 AM,28,11/23/2000 12:00:00 AM,,,,,35.7,35.7,33.5,21.2,10.3,5.9,2.8,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",06/29/2013 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,6001,61101,1,NAD27,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2000,Knots,No Events,8784,100,366,366,0,0,,,Certification not required,2,7.996095,4.696284,38.9,07/17/2000 10:00:00 PM,37.2,02/09/2000 09:00:00 PM,36.5,02/25/2000 04:00:00 PM,35.3,02/09/2000 10:00:00 PM,,,,,23.8,21.4,17.5,13.9,10.1,6.9,3.2,UTM COORDINATES AT MET TOWER,Utah,Box Elder,Not in a city,"Brigham City, UT",03/05/2010 12:00:00 AM,"NO ADDRESS; AWAY FROM CITY
(41.228056, -112.437778)"
49,3,6001,61102,1,NAD27,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE,2000,Degrees Compass,No Events,8784,100,366,366,0,0,,,Certification not required,16,145.556352,105.66765,360,01/24/2000 10:00:00 PM,360,01/29/2000 07:00:00 PM,360,03/20/2000 06:00:00 AM,360,03/29/2000 11:00:00 PM,,,,,355,348,331,310,232,116,32,UTM COORDINATES AT MET TOWER,Utah,Box Elder,Not in a city,"Brigham City, UT",03/05/2010 12:00:00 AM,"NO ADDRESS; AWAY FROM CITY
(41.228056, -112.437778)"
49,3,6001,61106,1,NAD27,Std Dev Hz Wind Direction,1 HOUR,,Observed Values,INSTRUMENTAL - ARITHMETIC STANDARD DEVIATION,2000,Degrees Compass,No Events,8784,100,366,366,0,0,,,Certification not required,1,17.079212,12.191032,78.6,02/07/2000 04:00:00 AM,76.1,10/20/2000 11:00:00 PM,74.1,04/18/2000 06:00:00 AM,71.3,12/16/2000 03:00:00 AM,,,,,56.7,51.5,43.7,34.7,22.3,13.3,5.7,UTM COORDINATES AT MET TOWER,Utah,Box Elder,Not in a city,"Brigham City, UT",03/05/2010 12:00:00 AM,"NO ADDRESS; AWAY FROM CITY
(41.228056, -112.437778)"
49,3,6001,62101,1,NAD27,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2000,Degrees Fahrenheit,No Events,8784,100,366,366,0,0,,,Certification not required,0,52.986225,18.594896,96,07/30/2000 04:00:00 PM,96,07/31/2000 04:00:00 PM,96,07/31/2000 05:00:00 PM,95,07/29/2000 04:00:00 PM,,,,,90,87,83,79,69,51,30,UTM COORDINATES AT MET TOWER,Utah,Box Elder,Not in a city,"Brigham City, UT",03/05/2010 12:00:00 AM,"NO ADDRESS; AWAY FROM CITY
(41.228056, -112.437778)"
49,5,4,42101,1,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,2000,Parts per million,No Events,3609,41,152,366,0,39,0,0,Certified,965,0.833541,0.663169,5.9,11/21/2000 08:00:00 PM,5.4,11/21/2000 07:00:00 PM,5.3,12/07/2000 09:00:00 PM,5,12/04/2000 07:00:00 PM,,,,,3.4,2.9,2.1,1.6,1,0.7,0.25,LOGAN #4,Utah,Cache,Logan,"Logan, UT-ID",03/05/2010 12:00:00 AM,"125 W. CENTER STREET, LOGAN, UT
(41.731111, -111.8375)"
49,5,4,42101,1,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2000,Parts per million,No Events,3618,41,149,366,0,0,0,0,Certified,0,0.837369,0.496387,3.8,11/22/2000 12:00:00 AM,3.7,11/22/2000 01:00:00 AM,3.6,11/21/2000 11:00:00 PM,3.4,11/21/2000 10:00:00 PM,3.8,11/22/2000 12:00:00 AM,3.2,11/21/2000 12:00:00 AM,2.6,2.2,1.8,1.5,1,0.7,0.3,LOGAN #4,Utah,Cache,Logan,"Logan, UT-ID",03/05/2010 12:00:00 AM,"125 W. CENTER STREET, LOGAN, UT
(41.731111, -111.8375)"
