State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,State Name,County Name,City Name,CBSA Name,Date of Last Change,Location 1
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2004,Parts per million,No Events,3607,99,152,153,0,65,0,0,Certified,25,0.057822,0.010264,0.093,07/31/2004 11:00:00 AM,0.079,08/02/2004 12:00:00 PM,0.077,06/03/2004 03:00:00 PM,0.076,08/16/2004 02:00:00 PM,,,,,0.079,0.076,0.074,0.072,0.064,0.058,0.045,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2004,Parts per million,No Events,3633,98,150,153,0,0,0,0,Certified,0,0.051827,0.009429,0.076,07/31/2004 09:00:00 AM,0.07,08/14/2004 10:00:00 AM,0.068,07/26/2004 09:00:00 AM,0.067,06/04/2004 10:00:00 AM,,,,,0.07,0.068,0.065,0.063,0.059,0.053,0.038,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2004,Parts per million,No Events,3633,98,150,153,0,0,1,1,Certified,0,0.051827,0.009429,0.076,07/31/2004 09:00:00 AM,0.07,08/14/2004 10:00:00 AM,0.068,07/26/2004 09:00:00 AM,0.067,06/04/2004 10:00:00 AM,,,,,0.07,0.068,0.065,0.063,0.059,0.053,0.038,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61101,1,NAD83,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2004,Knots,No Events,8540,97,355,366,0,244,,,Certification not required,14,5.025562,3.591088,34.8,04/02/2004 09:00:00 PM,34,04/02/2004 08:00:00 PM,32.6,04/02/2004 10:00:00 PM,32.2,04/02/2004 07:00:00 PM,,,,,16.8,15.3,12.2,9.8,6.8,3.9,1.7,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",03/06/2010 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61102,1,NAD83,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE,2004,Degrees Compass,No Events,8777,100,366,366,0,7,,,Certification not required,4,165.787969,95.654932,360,05/06/2004 07:00:00 AM,360,05/23/2004 09:00:00 PM,360,11/10/2004 02:00:00 PM,360,12/20/2004 11:00:00 PM,,,,,351,343,325,297,241,175,55,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",03/06/2010 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88101,1,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2004,Micrograms/cubic meter (LC),No Events,122,100,122,122,0,0,6,6,Certified,0,10.144262,11.208284,66.9,02/15/2004 12:00:00 AM,60.4,01/19/2004 12:00:00 AM,52,01/16/2004 12:00:00 AM,39.5,12/05/2004 12:00:00 AM,,,,,60.4,52,33.6,22.7,10.3,6.4,2.7,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",06/10/2014 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88101,1,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2013,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2004,Micrograms/cubic meter (LC),No Events,122,100,122,122,0,0,6,6,Certified,0,10.144262,11.208284,66.9,02/15/2004 12:00:00 AM,60.4,01/19/2004 12:00:00 AM,52,01/16/2004 12:00:00 AM,39.5,12/05/2004 12:00:00 AM,,,,,60.4,52,33.6,22.7,10.3,6.4,2.7,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",06/10/2014 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88101,1,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2004,Micrograms/cubic meter (LC),No Events,122,100,122,122,0,0,,,Certified,0,10.144262,11.208284,66.9,02/15/2004 12:00:00 AM,60.4,01/19/2004 12:00:00 AM,52,01/16/2004 12:00:00 AM,39.5,12/05/2004 12:00:00 AM,,,,,60.4,52,33.6,22.7,10.3,6.4,2.7,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",06/10/2014 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88101,1,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2013,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2004,Micrograms/cubic meter (LC),No Events,122,100,122,122,0,0,,,Certified,0,10.144262,11.208284,66.9,02/15/2004 12:00:00 AM,60.4,01/19/2004 12:00:00 AM,52,01/16/2004 12:00:00 AM,39.5,12/05/2004 12:00:00 AM,,,,,60.4,52,33.6,22.7,10.3,6.4,2.7,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",06/10/2014 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,7001,44201,1,NAD27,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2004,Parts per million,No Events,4201,60,92,153,0,1679,0,0,Certification not required,9,0.056,0.008494,0.077,07/31/2004 10:00:00 AM,0.075,08/13/2004 01:00:00 PM,0.072,08/01/2004 12:00:00 PM,0.07,06/01/2004 02:00:00 PM,,,,,0.077,0.075,0.069,0.067,0.061,0.057,0.049,WASHAKIE,Utah,Box Elder,,"Brigham City, UT",08/04/2012 12:00:00 AM,"8600 WEST 24000 NORTH PORTAGE, UTAH
(41.94595, -112.233179)"
49,3,7001,44201,1,NAD27,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2004,Parts per million,No Events,4235,60,92,153,0,0,0,0,Certification not required,0,0.051739,0.007881,0.071,07/31/2004 10:00:00 AM,0.066,08/13/2004 11:00:00 AM,0.065,08/01/2004 10:00:00 AM,0.064,07/27/2004 10:00:00 AM,,,,,0.071,0.066,0.064,0.062,0.057,0.053,0.045,WASHAKIE,Utah,Box Elder,,"Brigham City, UT",08/04/2012 12:00:00 AM,"8600 WEST 24000 NORTH PORTAGE, UTAH
(41.94595, -112.233179)"
49,3,7001,44201,1,NAD27,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2004,Parts per million,No Events,4235,60,92,153,0,0,0,0,Certification not required,0,0.051739,0.007881,0.071,07/31/2004 10:00:00 AM,0.066,08/13/2004 11:00:00 AM,0.065,08/01/2004 10:00:00 AM,0.064,07/27/2004 10:00:00 AM,,,,,0.071,0.066,0.064,0.062,0.057,0.053,0.045,WASHAKIE,Utah,Box Elder,,"Brigham City, UT",08/04/2012 12:00:00 AM,"8600 WEST 24000 NORTH PORTAGE, UTAH
(41.94595, -112.233179)"
49,3,7001,61101,1,NAD27,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2004,Knots,No Events,5044,76,209,275,0,836,,,Certification not required,7,5.327399,3.526444,27.8,05/10/2004 05:00:00 PM,26.1,09/18/2004 11:00:00 AM,25.2,05/10/2004 12:00:00 PM,24.3,05/10/2004 04:00:00 PM,,,,,15.6,13.9,12.2,10.4,7.8,4.3,1.7,WASHAKIE,Utah,Box Elder,,"Brigham City, UT",03/06/2010 12:00:00 AM,"8600 WEST 24000 NORTH PORTAGE, UTAH
(41.94595, -112.233179)"
49,3,7001,61104,1,NAD27,Wind Direction - Resultant,1 HOUR,,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,2004,Degrees Compass,No Events,5040,76,209,275,0,840,,,Certification not required,23,226.450228,104.938119,359,05/11/2004 01:00:00 PM,359,05/14/2004 04:00:00 PM,359,05/24/2004 03:00:00 AM,359,05/29/2004 02:00:00 AM,,,,,358,356,351,344,328,231,59,WASHAKIE,Utah,Box Elder,,"Brigham City, UT",03/06/2010 12:00:00 AM,"8600 WEST 24000 NORTH PORTAGE, UTAH
(41.94595, -112.233179)"
49,3,7001,62101,1,NAD27,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,2004,Degrees Fahrenheit,No Events,5044,76,209,275,0,836,,,Certification not required,0,53.266059,18.247896,93,07/12/2004 04:00:00 PM,93,07/14/2004 02:00:00 PM,93,07/14/2004 03:00:00 PM,93,07/14/2004 04:00:00 PM,,,,,90,88,84,79,66,54,30,WASHAKIE,Utah,Box Elder,,"Brigham City, UT",03/06/2010 12:00:00 AM,"8600 WEST 24000 NORTH PORTAGE, UTAH
(41.94595, -112.233179)"
